institution,course,level,start_year,end_year
the University of Guelph,International Development Theory,graduate,2018,
the University of Guelph,Research Methods,graduate,2018,
the University of Guelph,The Economics of Poverty,undergraduate,2018,
the University of Guelph,Project Evaluation,undergraduate,2018,
Virginia Tech,Research Methods,graduate,2014,2018
Virginia Tech,African Politics,undergraduate,2014,2018
Virginia Tech,Economic Development,undergraduate,2014,2018
Virginia Tech,International Relations,undergraduate,2014,2018
Virginia Tech,Comparative Politics,undergraduate,2014,2018
American University,African Political Economy,graduate,2013,2014
American University,International Development,graduate,2013,2014
American University,African Politics,undergraduate,2013,2014
American University,International Development,undergraduate,2013,2014
